Bolsa;Campus;Curso;Quantidade                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
AUXÍLIO CRECHE;JUIZ DE FORA;PEDAGOGIA;2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AUXÍLIO CRECHE;JUIZ DE FORA;PSICOLOGIA;1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
AUXÍLIO CRECHE;JUIZ DE FORA;SERVIÇO SOCIAL;1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
AUXÍLIO MORADIA;GOVERNADOR VALADARES;ADMINISTRAÇÃO;2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
AUXÍLIO MORADIA;GOVERNADOR VALADARES;CIÊNCIAS CONTÁBEIS;3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
AUXÍLIO MORADIA;GOVERNADOR VALADARES;CIÊNCIAS ECONÔMICAS;2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
AUXÍLIO MORADIA;GOVERNADOR VALADARES;DIREITO;7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
AUXÍLIO MORADIA;GOVERNADOR VALADARES;EDUCAÇÃO FÍSICA;1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
AUXÍLIO MORADIA;GOVERNADOR VALADARES;FARMÁCIA;14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
AUXÍLIO MORADIA;GOVERNADOR VALADARES;FISIOTERAPIA;6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO MORADIA;GOVERNADOR VALADARES;MEDICINA;23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
AUXÍLIO MORADIA;GOVERNADOR VALADARES;NUTRIÇÃO;7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
AUXÍLIO MORADIA;GOVERNADOR VALADARES;ODONTOLOGIA;13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO MORADIA;JUIZ DE FORA;ABI - CIÊNCIAS BIOLÓGICAS;1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
AUXÍLIO MORADIA;JUIZ DE FORA;ABI - CIÊNCIAS SOCIAIS;2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
AUXÍLIO MORADIA;JUIZ DE FORA;ABI - EDUCAÇÃO FÍSICA;6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
AUXÍLIO MORADIA;JUIZ DE FORA;ABI - GEOGRAFIA;3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
AUXÍLIO MORADIA;JUIZ DE FORA;ABI - HISTÓRIA;1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
AUXÍLIO MORADIA;JUIZ DE FORA;ADMINISTRAÇÃO;3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
AUXÍLIO MORADIA;JUIZ DE FORA;ARQUITETURA E URBANISMO;11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AUXÍLIO MORADIA;JUIZ DE FORA;BACHARELADO EM ARTES VISUAIS;7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
AUXÍLIO MORADIA;JUIZ DE FORA;BACHARELADO EM DESIGN;4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
AUXÍLIO MORADIA;JUIZ DE FORA;BACHARELADO EM MODA;4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
AUXÍLIO MORADIA;JUIZ DE FORA;BACHARELADO INTERDISCIPLINAR EM ARTES E DESIGN;10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
AUXÍLIO MORADIA;JUIZ DE FORA;BACHARELADO INTERDISCIPLINAR EM CIÊNCIAS HUMANAS;11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
AUXÍLIO MORADIA;JUIZ DE FORA;CIÊNCIA DA COMPUTAÇÃO;3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
AUXÍLIO MORADIA;JUIZ DE FORA;CIÊNCIAS BIOLÓGICAS;6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
AUXÍLIO MORADIA;JUIZ DE FORA;CIÊNCIAS CONTÁBEIS;5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
AUXÍLIO MORADIA;JUIZ DE FORA;CIÊNCIAS ECONÔMICAS;13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO MORADIA;JUIZ DE FORA;CIÊNCIAS EXATAS;5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
AUXÍLIO MORADIA;JUIZ DE FORA;CIÊNCIAS SOCIAIS;3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
AUXÍLIO MORADIA;JUIZ DE FORA;CINEMA E AUDIOVISUAL;6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO MORADIA;JUIZ DE FORA;DIREITO;25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AUXÍLIO MORADIA;JUIZ DE FORA;EDUCAÇÃO FÍSICA;2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
AUXÍLIO MORADIA;JUIZ DE FORA;ENFERMAGEM;13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
AUXÍLIO MORADIA;JUIZ DE FORA;ENGENHARIA AMBIENTAL E SANITÁRIA;7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
AUXÍLIO MORADIA;JUIZ DE FORA;ENGENHARIA CIVIL;25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
AUXÍLIO MORADIA;JUIZ DE FORA;ENGENHARIA COMPUTACIONAL;3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AUXÍLIO MORADIA;JUIZ DE FORA;ENGENHARIA DE PRODUÇÃO;7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
AUXÍLIO MORADIA;JUIZ DE FORA;ENGENHARIA ELÉTRICA - ENERGIA;5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
AUXÍLIO MORADIA;JUIZ DE FORA;ENGENHARIA ELÉTRICA - ROBÓTICA E AUTOMAÇÃO INDUSTRIAL;7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
AUXÍLIO MORADIA;JUIZ DE FORA;ENGENHARIA ELÉTRICA - SISTEMAS DE POTÊNCIA;13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
AUXÍLIO MORADIA;JUIZ DE FORA;ENGENHARIA ELÉTRICA - SISTEMAS ELETRÔNICOS;5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
AUXÍLIO MORADIA;JUIZ DE FORA;ENGENHARIA ELÉTRICA - TELECOMUNICAÇÕES;5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
AUXÍLIO MORADIA;JUIZ DE FORA;ENGENHARIA MECÂNICA;6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
