Bolsa;Campus;Curso;Quantidade                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;CIÊNCIAS CONTÁBEIS;12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;CIÊNCIAS ECONÔMICAS;10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;CIÊNCIAS EXATAS;16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;CIÊNCIAS SOCIAIS;5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;CINEMA E AUDIOVISUAL;6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;DIREITO;29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;DISCIPLINA ISOLADA;1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;EDUCAÇÃO FÍSICA;6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;ENFERMAGEM;22                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;ENGENHARIA AMBIENTAL E SANITÁRIA;7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;ENGENHARIA CIVIL;23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;ENGENHARIA COMPUTACIONAL;2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;ENGENHARIA DE PRODUÇÃO;10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;ENGENHARIA ELÉTRICA - ENERGIA;3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;ENGENHARIA ELÉTRICA - ROBÓTICA E AUTOMAÇÃO INDUSTRIAL;7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;ENGENHARIA ELÉTRICA - SISTEMAS DE POTÊNCIA;11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;ENGENHARIA ELÉTRICA - SISTEMAS ELETRÔNICOS;7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
